trip_id,stop_sequence,stop_id,arrival_time,departure_time
6005421-B_A_50_VTB04_22:20-JANV2025-B-Semaine-03,0,2645,1757448279,1757448279
6005421-B_A_50_VTB04_22:20-JANV2025-B-Semaine-03,1,2636,1757449380,1757449380
6005421-B_A_50_VTB04_22:20-JANV2025-B-Semaine-03,2,2633,1757449500,1757449500
6005421-B_A_50_VTB04_22:20-JANV2025-B-Semaine-03,3,2779,1757449680,1757449680
6005421-B_A_50_VTB04_22:20-JANV2025-B-Semaine-03,4,2629,1757449800,1757449800
6005421-B_A_50_VTB04_22:20-JANV2025-B-Semaine-03,5,2812,1757449059,
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,0,2828,,1757448900
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,1,1619,1757449020,1757449020
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,2,139,1757449202,1757449202
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,3,144,1757449293,1757449293
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,4,1161,1757449380,1757449380
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,5,265,1757449425,1757449425
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,6,1320,1757449470,1757449470
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,7,671,1757449517,1757449517
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,8,1324,1757449598,1757449598
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,9,433,1757449708,1757449708
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,10,610,1757449860,1757449860
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,11,170,1757449895,1757449895
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,12,623,1757449969,1757449969
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,13,1089,1757450004,1757450004
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,14,675,1757450041,1757450041
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,15,136,1757450137,1757450137
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,16,1618,1757450182,1757450182
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,17,224,1757450205,1757450205
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,18,674,1757450273,1757450273
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,19,1246,1757450340,1757450340
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,20,1088,1757450372,1757450372
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,21,1396,1757450420,1757450420
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,22,6053,1757450447,1757450447
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,23,6023,1757450494,1757450494
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,24,6015,1757450538,1757450538
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,25,6064,1757450580,1757450580
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,26,6021,1757450640,1757450640
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,27,6033,1757450700,
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,2,2980,1757448273,1757448273
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,3,1062,1757448303,1757448303
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,4,688,1757448358,1757448358
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,5,932,1757448390,1757448390
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,6,1055,1757448433,1757448433
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,7,2671,1757448453,1757448453
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,8,1142,1757448591,1757448591
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,9,364,1757448670,1757448670
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,10,1187,1757448667,1757448667
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,11,107,1757448784,1757448784
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,12,677,1757448871,1757448871
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,13,845,1757448935,1757448935
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,14,318,1757448965,1757448965
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,15,1192,1757449053,1757449053
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,16,1041,1757449062,1757449062
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,17,1289,1757449135,1757449135
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,18,546,1757449161,1757449161
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,19,827,1757449185,1757449185
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,20,854,1757449228,1757449228
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,21,784,1757449283,1757449283
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,22,288,1757449279,1757449279
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,23,240,1757449306,1757449306
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,24,372,1757449348,1757449348
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,25,268,1757449372,1757449372
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,26,820,1757449410,1757449410
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,27,673,1757449411,1757449411
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,28,1243,1757449443,1757449443
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,29,1334,1757449530,1757449530
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,30,272,1757449561,1757449561
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,31,1173,1757449593,1757449593
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,32,742,1757449658,1757449658
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,33,624,1757449673,1757449673
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,34,998,1757449666,1757449666
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,35,417,1757449714,1757449714
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,36,663,1757449718,1757449718
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,37,550,1757449746,1757449746
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,38,590,1757449795,1757449795
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,39,194,1757449840,1757449840
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,40,54,1757449847,1757449847
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,41,414,1757449917,1757449917
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,42,502,1757449959,1757449959
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,43,426,1757449985,1757449985
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,44,1217,1757450019,1757450019
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,45,1205,1757450043,1757450043
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,46,712,,1757450193
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,47,1427,1757450361,
6170483-L2_A_49__22:00-JANV2025-L2-Semaine-09,1,2630,1757448241,1757448278
6170483-L2_A_49__22:00-JANV2025-L2-Semaine-09,2,2767,1757448480,1757448480
6170483-L2_A_49__22:00-JANV2025-L2-Semaine-09,3,2771,1757448600,1757448600
6170483-L2_A_49__22:00-JANV2025-L2-Semaine-09,4,2624,1757448720,1757448720
6170483-L2_A_49__22:00-JANV2025-L2-Semaine-09,5,2622,1757448780,1757448780
6170483-L2_A_49__22:00-JANV2025-L2-Semaine-09,6,2768,1757448840,1757448840
6170483-L2_A_49__22:00-JANV2025-L2-Semaine-09,7,2769,1757449080,1757449080
6170483-L2_A_49__22:00-JANV2025-L2-Semaine-09,8,2618,1757449140,1757449140
6170483-L2_A_49__22:00-JANV2025-L2-Semaine-09,9,2616,1757449320,1757449320
