trip_id,route_id,direction_id
6429341-15_R_99_1505_23:05-SETP2025-15-Semaine-11,15,1
6170497-L2_R_98__22:10-JANV2025-L2-Semaine-09,L2,1
6327163-17_R_99_1704_22:10-SETP2025-17-L-Ma-J-V-35,17,1
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,Exp4,1
6170486-L2_R_98__21:43-JANV2025-L2-Semaine-09,L2,1
6446630-05_R_50_0506_21:51-SETP2025-05-L-Ma-J-V-38,05,
5408567-82_R_99_8201_21:30-PROJET2024-82-Semaine-93,82,1
6005423-B_A_50_VTB04_23:00-JANV2025-B-Semaine-03,B,0
6170483-L2_A_49__22:00-JANV2025-L2-Semaine-09,L2,0
6409678-57_A_50_5707_22:05-SETP2025-57-Semaine-06,57,
6452588-T1_R_57_VT116_21:50-SETP2025-L1-Semaine-04,L1,1
6452586-T1_R_57_VT110_21:30-SETP2025-L1-Semaine-04,L1,1
6102624-63_A_48_6305_23:00-PROJET2025-63-Semaine-72-1101100,63,0
4542780-44_R_99_4401_22:23-RESEAU2023-44-Semaine-89,44,1
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,32,
6170495-L2_R_98__22:30-JANV2025-L2-Semaine-09,L2,1
6170484-L2_A_49__22:20-JANV2025-L2-Semaine-09,L2,0
5838838-22_R_95_2210_21:10-PROJET2025-22-Semaine-20,22,
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,09,1
6429343-15_A_50_1504_21:50-SETP2025-15-Semaine-11,15,
6409685-57_A_50_5709_21:40-SETP2025-57-Semaine-06,57,
6402595-32_R_97_3202_21:55-SETP2025-32-Semaine-34,32,
6368766-09_R_99_0901_21:30-PROJET2025-09-Semaine-35,09,
5839192-Exp4_A_50_EXP403_22:05-PROJET2025-Exp4-Semaine-04,Exp4,0
6428493-61_A_50_6104_21:30-PROJET2025-61-Semaine-24,61,
6428496-61_R_99_6102_22:00-PROJET2025-61-Semaine-24,61,
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,62,
6429270-15_R_99_1503_20:45-SETP2025-15-Semaine-11,15,1
6102622-63_A_48_6305_24:00-PROJET2025-63-Semaine-72-1101100,63,0
6414368-07_A_49_0701_22:10-SETP2025-07-L-Ma-J-V-41,07,0
6414380-07_A_49_0701_23:29-SETP2025-07-L-Ma-J-V-41,07,0
6446417-05_A_99_0506_23:20-SETP2025-05-L-Ma-J-V-38,05,0
6005421-B_A_50_VTB04_22:20-JANV2025-B-Semaine-03,B,0
6368774-09_A_50_0904_23:00-PROJET2025-09-Semaine-35,09,0
6409679-57_A_50_5712_22:35-SETP2025-57-Semaine-06,57,0
6409672-57_R_99_5703_24:05-SETP2025-57-Semaine-06,57,1
6170761-L3_A_14__22:13-JANV2025-L3-Semaine-09,L3,0
6368771-09_A_50_0907_21:30-PROJET2025-09-Semaine-35,09,
6414376-07_R_97_0705_22:30-SETP2025-07-L-Ma-J-V-41,07,1
6414372-07_R_97_0701_23:00-SETP2025-07-L-Ma-J-V-41,07,1
6170738-L3_A_48__22:00-JANV2025-L3-Semaine-09,L3,0
6366003-20_R_99_2004_21:45-SETP2025-20-Semaine-42,20,
6452555-T1_A_12_VT118_22:45-SETP2025-L1-Semaine-04,L1,0
6428490-61_A_50_6101_21:50-PROJET2025-61-Semaine-24,61,
4542722-44_A_50_4401_21:55-RESEAU2023-44-Semaine-89,44,
6428334-60_R_99_6002_22:00-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,
6327158-17_A_50_1706_22:10-SETP2025-17-L-Ma-J-V-35,17,0
6368773-09_A_50_0901_22:30-PROJET2025-09-Semaine-35,09,0
6005407-B_R_99_VTB01_22:18-JANV2025-B-Semaine-03,B,1
6409671-57_R_99_5712_23:35-SETP2025-57-Semaine-06,57,1
6452590-T1_R_57_VT122_22:15-SETP2025-L1-Semaine-04,L1,1
6414373-07_R_97_0701_21:35-SETP2025-07-L-Ma-J-V-41,07,
6409668-57_R_99_5703_22:05-SETP2025-57-Semaine-06,57,
6429311-15_A_50_1505_22:25-SETP2025-15-Semaine-11,15,
6452554-T1_A_12_VT110_22:15-SETP2025-L1-Semaine-04,L1,0
6429342-15_R_99_1502_23:40-SETP2025-15-Semaine-11,15,1
6428495-61_R_99_6105_21:40-PROJET2025-61-Semaine-24,61,
6428368-60_R_99_6003_22:20-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,1
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,L3,1
6170769-L3_A_14__22:07-JANV2025-L3-Semaine-09,L3,0
6252517-11_R_97_1102_21:40-SETP2025-11-Semaine-37,11,
6409677-57_A_50_5704_21:20-SETP2025-57-Semaine-06,57,
6409682-57_A_50_5707_24:05-SETP2025-57-Semaine-06,57,0
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,07,0
